trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD
143,0.07496710704879395,1.3965483728501327,0.04269215531419491,0.48297388390427537,1.112155029278458,2.610673374567745,2.931185026820537,55,-0.03420582346761194
144,0.07586037044716636,1.400559439993159,0.04266801733096916,0.48414300580585085,1.1123121838878358,2.622700062035925,2.9277478795490564,55,-0.03445238002456641
145,0.05493369039047335,1.407044625590799,0.04051837944956089,0.4744285686215036,1.1119375678082521,2.6253581756497146,2.9377372336001626,55,-0.03543816328104364
146,0.04387505051796811,1.3863301306872333,0.04349571538860218,0.48216375023142316,1.0771559971712001,2.6145912988505904,2.916512635770864,55,-0.03461673235712189
147,0.035478928661440014,1.4146030893172314,0.042243865117616325,0.4872024955385626,1.126591021575486,2.619447167698079,2.9418281124109855,54,-0.03407952373211832
148,0.058998598468811336,1.4338667097832163,0.04138844174185751,0.4941418856755673,1.1117319442955553,2.5983750111580126,2.922490516764247,55,-0.034513363031468486
149,0.021337323659644414,1.422378097196985,0.04127172134766372,0.47735421110875487,1.1381697919606546,2.6120351884384796,2.9995010119034315,54,-0.02517521853092869
150,0.05780004743386534,1.3738365615951273,0.043531452689640524,0.47010451977976603,1.1014635635275403,2.630530924335327,2.9479226648748464,55,-0.04207887774830979
151,0.027599938450960808,1.3863621277218383,0.04408698258301469,0.474801173822536,1.1261927180066094,2.5816948769279837,2.9008775507803315,53,-0.024932993155534957
152,0.06148044051100199,1.3998254719106302,0.042411758240352836,0.48371253944359893,1.1169928694714646,2.589863046960959,2.9227827206113495,55,-0.04045299841385107
