trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD,ENGINE3_RS_THRESHOLD,MAX_OPEN_POSITIONS,CCI_STRICT_FLOOR,CCI_RLX_FLOOR
99,0.018074350111503507,1.5175986085233437,0.04866307607357038,0.3638045214344286,1.1317386249900665,2.4204534884849944,4.471243237025861,47,-0.03795333470008371,4,-78.71470425411917,-20.47915849667888
100,0.012487967834513189,1.5332395516304058,0.04887703651984171,0.37513586057261117,1.1129600459575468,2.4497599814376754,3.358378044278548,46,-0.06155174010435453,4,-60.86006166210602,-22.17283585006181
101,0.015225428275168316,1.5325649635120593,0.05396404239313389,0.37509790900104295,1.1129811898058877,2.44442254933795,4.382440474231286,57,-0.06885565375343676,4,-63.39110888547363,-14.245394784499883
102,0.06225189118398484,1.5507517242295685,0.05379210308243236,0.35356531925714535,1.1468638945717302,2.3946623550894848,4.410051282107888,47,-0.05248926035167836,4,-77.89593575081076,-24.83867725703276
103,0.029688551889117884,1.5519835017893207,0.05190766235270454,0.3511656915217678,1.0770142872823292,2.393899551770142,4.3015415635845775,47,-0.07382540264397995,4,-77.74240310966648,-25.36015254113587
104,0.06969123335119301,1.4954312034212847,0.05728223959908254,0.35240712199140106,1.1496372198612645,2.3998660227030935,2.7179877785881255,47,-0.05025586804167841,4,-78.17952991213153,-25.07486321114663
105,0.004386850660017929,1.4881830902018094,0.06005125432607017,0.35728197128347006,0.8999806208478919,2.4636124932796957,2.704031213557369,48,-0.05635926701023391,4,-79.85956185471889,-19.690219257185817
106,0.01154609380103937,1.4931799540542738,0.05781867030993785,0.35690415242197693,1.1022164136900416,2.3491502936570376,4.173519600242777,48,-0.04884485635510464,4,-79.76841299454266,-28.044760193542174
107,0.020485306552517582,1.498426361933372,0.058733247741190854,0.3400532683919458,1.1483000328916289,2.348672004093074,4.2502638269371,46,-0.05157787138799793,4,-71.42265189139364,-27.830472546146524
108,0.06254071562837951,1.5234843954094628,0.05744282736628145,0.33799303333135955,1.147172713236896,2.3867782575001257,4.230571622791441,46,-0.053205938889041425,4,-75.71319632199693,-24.424908946819986
109,-0.0015790518115671574,1.4775921082461412,0.057713323751729696,0.3333613252043279,0.8048275932099457,2.3821000165088764,4.368461733272526,47,-0.06114676834420536,4,-74.23256266561603,-24.11422467135234
110,0.029606377468391877,1.5243547621958826,0.05779069416563218,0.33474640138080664,1.1791042715729791,2.3823635287921117,4.373110630738353,47,-0.05841965573082581,4,-74.05019924574205,-25.218590971053924
111,0.030085825870683373,1.5263314278727447,0.05571202580468359,0.38231840907829995,1.1809921942602293,2.4022489972734005,4.413048629901854,47,-0.05693223179482465,4,-78.04468733202062,-26.26949524300484
112,0.06043761096523508,1.537618201934531,0.05594600218048564,0.34758420718843663,1.1441229508962973,2.407013755375879,4.111300494513358,46,-0.052633583380383486,4,-78.41029334471024,-26.37733124638596
113,0.04881382986100905,1.5456103709026057,0.059469061597912286,0.34935632207897155,1.1673884934536716,2.369053728888219,4.11043601204239,46,-0.05292096729955043,4,-76.31460232121026,-30.062276477501722
114,0.027719509972952274,1.550986307988674,0.05938266417833112,0.3479294799498798,1.1541467149420601,2.360446629961849,3.8266153289927685,46,-0.05436522446919964,4,-75.80714127981798,-26.958589772868496
115,0.06209884218678865,1.5378963495466274,0.06130117466120917,0.3640229390761516,1.1488567967575607,2.4147534726657853,4.2286831883138225,46,-0.06376109773991957,4,-78.06071303743713,-28.8747815917124
116,0.07029114145658265,1.5382838224191628,0.054740567038861286,0.3188511638158821,1.1260129523835405,2.406942547092298,3.4621176742761413,45,-0.0635130702734749,4,-70.66816296812382,-22.57960268011924
117,-3.0,1.5380587077774424,0.054743438928798266,0.36239955863006207,1.1979998156500138,2.387689002628297,4.1972134990116166,54,-0.06494128121704619,4,-77.74317721020277,-29.18952485762938
118,0.12799475973766375,1.5383429968742186,0.062070018611716356,0.30061297674424414,1.1470915581802639,2.3858688136913346,4.21716389916158,58,-0.06648728473739356,4,-42.47643116775677,-22.429004497678303
119,0.07044900936991662,1.5310576475691011,0.06140883468189308,0.3211025522806878,1.1495213314570183,2.4167304165622747,4.002196252129806,46,-0.06681589342300231,4,-78.18808142982235,-21.929403338521006
120,0.13301146492430038,1.5120854593273665,0.06147207459336962,0.32597841331021826,1.1469174962598816,2.417856937172747,4.09416626623399,58,-0.07243217891958846,4,-38.75057339975398,-22.462539319335555
122,0.13454638703208555,1.5130111297951632,0.06341402859836665,0.30254626310317667,1.1241234752985683,2.413971778255813,4.2200489494456,58,-0.070582101406274,4,-41.97399819635733,-22.54583707935053
121,0.017695661591238088,1.5158027288529423,0.06227459708451424,0.3002693776969359,1.1247593857020663,2.3147984119204033,4.027046652044227,57,-0.07098620248422029,4,-41.12498949495941,-22.40096390187968
123,0.056381086739970915,1.5188363002759953,0.062139121814985904,0.3011423953726088,1.1581774331070784,2.41447092568419,3.9980143031313267,58,-0.07253057521277954,4,-42.161725442837316,-22.036625584619618
124,0.07455179983300907,1.5659371210681206,0.0647583768651225,0.32349910449871827,1.157840225129585,2.4144585544947215,3.9540416346785614,58,-0.07178775959418426,4,-43.15442677214541,-21.857747438113492
126,-5.0,1.5664083932423343,0.06453837531759467,0.31155902169282074,1.1710054923891982,2.477082975513611,3.9572689649677226,59,-0.07683805012527889,4,-39.642791788937465,-21.45475127957043
125,0.022775998850392484,1.5660197757999097,0.06478848684040069,0.31104393280275056,1.1702665882418364,2.438736948849509,4.216529897773228,58,-0.0835571255000759,4,-38.9481253386732,-24.065826396302306
127,0.16126700855760517,1.4835467144561574,0.06422107598825752,0.31966721351943134,1.1384483909437824,2.4563292852182137,3.889034989247637,58,-0.07916925725558077,4,-47.526159076764785,-22.945197220252776
128,0.1604072815203937,1.485154278313132,0.06367192881169895,0.31767039812539644,1.1366314039321566,2.450773913959099,4.137926757059628,58,-0.06720324466732175,4,-44.022791756316835,-22.708782048117005
130,-5.0,1.480788466384825,0.06701565482662754,0.3159204221113039,1.2063274796838532,2.4628322630985213,3.916235022331665,59,-0.07970347432608395,4,-43.52865180961605,-22.62977445826165
129,0.01083069186930945,1.4819549442047677,0.0669060439037012,0.3186678422991,1.2091675464943512,2.4572354137916594,3.8437999703336967,58,-0.08064575458778463,4,-48.138470819349294,-22.64805850360123
